type	latitude	longitude	altitude (m)	name
T	46.571944000	5.989304000	952.0	
T	46.570777000	5.990502000	960.7	
T	46.555746000	6.013437000	924.3	
T	46.555901000	6.014078000	923.3	
T	46.553692000	6.016894000	912.2	
T	46.549642000	6.017977000	906.8	
T	46.544241000	6.019417000	896.5	
T	46.541971000	6.018782000	866.7	
T	46.537421000	6.016141000	834.3	
T	46.533706000	6.016936000	807.9	
T	46.533527000	6.016510000	800.4	
T	46.532689000	6.016144000	773.2	
T	46.530867000	6.020195000	704.0	
T	46.530931000	6.020657000	705.4	
T	46.530495000	6.020758000	701.7	
T	46.529965000	6.020013000	696.2	
T	46.529567000	6.019860000	694.9	
T	46.528152000	6.021501000	698.0	
T	46.526687000	6.021849000	700.9	
T	46.525044000	6.021567000	703.4	
T	46.522410000	6.022078000	706.3	
T	46.522057000	6.022271000	708.1	
T	46.521744000	6.021232000	706.0	
T	46.519912000	6.022380000	708.6	
T	46.518778000	6.022695000	718.8	
T	46.518504000	6.023558000	714.4	
T	46.518266000	6.024072000	709.9	
T	46.516944000	6.025750000	715.1	
T	46.513377000	6.026566000	720.6	
T	46.511104000	6.028986000	736.4	
T	46.510631000	6.029397000	744.1	
T	46.510615000	6.029558000	750.7	
T	46.496169000	6.029560000	835.4	
T	46.497224000	6.032570000	885.0	
T	46.496122000	6.033980000	907.0	
T	46.494689000	6.036147000	903.0	
T	46.494000000	6.035635000	893.8	
T	46.493953000	6.035788000	893.5	
T	46.489081000	6.040060000	977.5	
T	46.489085000	6.041294000	986.3	
T	46.482041000	6.046092000	1042.4	
T	46.463134000	6.059590000	1075.3	
T	46.461370000	6.060143000	1060.8	
T	46.456289000	6.063994000	1126.7	
T	46.454463000	6.065228000	1149.4	
T	46.453672000	6.071008000	1185.6	
T	46.443749000	6.084404000	1236.0	
T	46.442309000	6.085311000	1238.9	
T	46.440190000	6.092260000	1292.8	
T	46.423999000	6.111569000	1436.2	
T	46.423336000	6.113962000	1395.5	
T	46.422428000	6.116253000	1365.7	
T	46.421149000	6.121533000	1301.7	
T	46.421044000	6.124002000	1291.7	
T	46.416630000	6.130191000	1162.3	
T	46.414846000	6.131669000	1128.2	
T	46.412819000	6.134021000	1038.8	
T	46.412300000	6.133465000	1023.7	
T	46.409283000	6.137715000	837.2	
T	46.400373000	6.141176000	648.7	
T	46.386440000	6.142573000	546.2	
T	46.382769000	6.147951000	541.3	
T	46.381010000	6.151189000	531.9	
T	46.375100000	6.160545000	491.3	
T	46.373777000	6.162183000	477.1	
T	46.373857000	6.162846000	476.8	
T	46.373223000	6.164032000	474.9	
T	46.364721000	6.169842000	471.3	
T	46.353238000	6.166377000	470.3	
T	46.352937000	6.167482000	471.0	
T	46.350253000	6.166216000	476.8	
T	46.348393000	6.169251000	478.4	
T	46.346005000	6.176430000	449.8	
T	46.340186000	6.175270000	442.7	
T	46.339548000	6.175918000	438.9	
T	46.334608000	6.171638000	440.2	
T	46.334593000	6.171942000	439.0	
T	46.331497000	6.175066000	431.9	
T	46.322677000	6.181541000	419.4	
T	46.320539000	6.179799000	420.0	
T	46.318271000	6.179176000	414.7	
T	46.309291000	6.175294000	412.0	
T	46.308862000	6.176319000	411.3	
T	46.306732000	6.173765000	404.3	
T	46.306692000	6.172830000	407.0	
T	46.306130000	6.172613000	410.9	
T	46.306101000	6.172497000	411.0	
T	46.303384000	6.169611000	410.7	
T	46.298127000	6.168969000	389.4	
T	46.297647000	6.168804000	389.3	
T	46.295399000	6.167196000	388.6	
T	46.291822000	6.165713000	391.9	
T	46.291386000	6.163434000	399.0	
T	46.289641000	6.163562000	394.8	
T	46.287694000	6.163617000	393.0	
T	46.287694000	6.163692000	392.7	
T	46.286538000	6.163823000	395.1	
T	46.283717000	6.163711000	393.0	
T	46.277890000	6.166404000	383.8	
T	46.277021000	6.167723000	379.3	
T	46.276598000	6.167715000	379.2	
T	46.276253000	6.167670000	378.6	
T	46.275533000	6.167700000	377.2	
T	46.274296000	6.167450000	384.3	
T	46.257866000	6.156346000	381.6	
T	46.242671000	6.151171000	379.6	
T	46.240706000	6.150216000	384.3	
T	46.224060000	6.148370000	380.5	
T	46.223815000	6.148418000	380.5	
T	46.222374000	6.149104000	391.7	
T	46.222190000	6.149268000	393.0	
T	46.216987000	6.146541000	388.0	
T	46.216612000	6.147132000	392.0	
T	46.214709000	6.145744000	390.1	
T	46.213598000	6.148305000	382.0	
T	46.208201000	6.143920000	393.3	
